"Car Financing"
"Sales & Marketing"
"Value","Current"
"Requests to be processed LowPriceCars","59.391,8 TA/yr"
"Requests to be processed MidPriceCars","74.239,8 TA/yr"
"Requests to be processed HighPriceCars","14.848,0 TA/yr"
"Requests succeeded LowPriceCars","19.279,2 TA/yr"
"Requests succeeded MidPriceCars","24.099,0 TA/yr"
"Requests succeeded HighPriceCars","4.819,8 TA/yr"
"Error Rate","3,8 %"
"Sales & Marketing Quality","32,5 %"
"Employees in Process Step","174,5 FTE"
"Employee Utilization","100,0 %"
"Employee Satisfaction","79,8 %"
"Employees leaving","2,2 FTE/yr"
"PCs in Department","97,7 PC"
"Office Automation in Dept.","500,0 LI"
"Business Apps. used by Dept.","97,8 MLOC"
"Origination"
"Value","Current"
"Contracts to be processed LowPriceCars","19.279,2 TA/yr"
"Contracts to be processed MidPriceCars","24.099,0 TA/yr"
"Contracts to be processed HighPriceCars","4.819,8 TA/yr"
"Contracts succeeded LowPriceCars","18.460,7 TA/yr"
"Contracts succeeded MidPriceCars","23.075,9 TA/yr"
"Contracts succeeded HighPriceCars","4.615,2 TA/yr"
"Error Rate","4,2 %"
"Origination Quality","95,8 %"
"Employees in Process Step","202,3 FTE"
"Employee Utilization","60,5 %"
"Employee Satisfaction","75,9 %"
"Employees leaving","2,7 FTE/yr"
"PCs in Department","131,4 PC"
"Office Automation in Dept.","675,0 LI"
"Bus. Apps. used by Dept.","111,0 MLOC"
"Servicing"
"Value","Current"
"Service Transactions to be processed","216.749,4 TA/yr"
"Service Transactions succeeded","173.290,4 TA/yr"
"Error Rate","3,2 %"
"Servicing Quality","79,9 %"
"Empl. in Process Step","212,2 FTE"
"Employee Utilization","100,0 %"
"Employee Satisfaction","82,1 %"
"Employees leaving","2,6 FTE/yr"
"PCs in Department","134,3 PC"
"Office Automation in Dept.","690,0 LI"
"Business Apps. used by Dept.","105,2 MLOC"
"Savings Account"
"Sales & Marketing"
"Value","Current"
"Requests to be processed","902.795,1 TA/yr"
"Requests succeeded","142.619,1 TA/yr"
"Error Rate","5,7 %"
"Sales & Marketing Quality","15,8 %"
"Employees in Process Step","163,3 FTE"
"Employee Utilization","100,0 %"
"Employee Satisfaction","77,5 %"
"Employees leaving","2,1 FTE/yr"
"PCs in Department","161,5 PC"
"Office Automation in Dept.","780,0 LI"
"Bus. Apps. used by Dept.","100,6 MLOC"
"Origination"
"Value","Current"
"Contracts to be processed","142.619,1 TA/yr"
"Contracts succeeded","136.564,3 TA/yr"
"Error Rate","5,2 %"
"Origination Quality","95,8 %"
"Empl. in Process Step","281,8 FTE"
"Employee Utilization","94,2 %"
"Employee Satisfaction","77,5 %"
"Employees leaving","3,6 FTE/yr"
"PCs in Department","131,4 PC"
"Office Automation in Dept.","675,0 LI"
"Bus. Apps. used by Dept.","99,7 MLOC"
"Servicing"
"Value","Current"
"Service Transactions to be processed","162.640,8 TA/yr"
"Service Transactions succeeded","156.517,6 TA/yr"
"Error Rate","3,8 %"
"Servicing Quality","96,2 %"
"Empl. in Process Step","184,6 FTE"
"Employee Utilization","87,9 %"
"Employee Satisfaction","76,9 %"
"Employees leaving","2,4 FTE/yr"
"PCs in Department","112,3 PC"
"Office Automation in Dept.","575,0 LI"
"Bus. Apps. used by Dept.","101,0 MLOC"
