"Indicator (Cumulated over the last 6 months)","Value (in $)"
"Net interest revenues Headline",""
"Interest revenues","119.840.017,65"
"Interest expenses","101.833.542,208"
"Net interest revenues","18.006.475,425"
"Provision for loan losses","18.365.335,692"
"Net interest revenues after provisions for loan losses","-358.860,25"
"Noninterest revenues Headline",""
"Net commissions & fees","9.322.123,167"
"Net trading revenues","11.100.000"
"Other revenues","0"
"Total non interest revenues","20.422.123,167"
"Noninterest expenses Headline",""
"Management Staff Expenses","5.349.874,217"
"Functional Staff Expenses","34.968.313,892"
"IT Staff Expenses","3.838.386,467"
"Marketing Expenses","3.960.000"
"IT Material Expenses","1.817.926,367"
"Other Expenses","7.773.460,117"
"Total noninterest expenses","57.707.961,058"
"Income before income tax expense","-37.644.698,148"
"Income tax expense","-11.293.409,444"
"Net income","-26.351.288,703"
