"Indicator (Cumulated over the last 6 months)","Value (in $)"
"Net interest revenues Headline",""
"Interest revenues","140.242.200,25"
"Interest expenses","67.856.935,167"
"Net interest revenues","72.385.265,083"
"Provision for loan losses","18.768.560,033"
"Net interest revenues after provisions for loan losses","53.616.705,033"
"Noninterest revenues Headline",""
"Net commissions & fees","19.289.398,033"
"Net trading revenues","340.000"
"Other revenues","0"
"Total non interest revenues","19.629.398,033"
"Noninterest expenses Headline",""
"Management Staff Expenses","7.053.572,217"
"Functional Staff Expenses","40.413.543,375"
"IT Staff Expenses","3.823.772,267"
"Marketing Expenses","4.060.000"
"IT Material Expenses","1.597.428,55"
"Other Expenses","10.525.411,617"
"Total noninterest expenses","67.473.728,042"
"Income before income tax expense","5.772.375,029"
"Income tax expense","1.731.712,512"
"Net income","4.040.662,517"
